session_id,real_session_id,education_level,accomplishment,effort_required,mental_demand,perceived_controllability,temporal_demand,trust
2128,37,undergraduate,5,4,4,4,3,5
2185,38,graduate,4,3,4,3,2,4
2238,40,graduate,5,4,4,4,3,5
2282,41,graduate,5,3,4,4,2,5
2508,45,undergraduate,5,4,4,4,3,5
2529,47,undergraduate,4,3,4,4,2,4
2554,50,undergraduate,5,4,4,4,3,5
2584,55,undergraduate,4,3,4,3,2,4
2605,59,undergraduate,5,3,4,4,2,5
2630,67,undergraduate,5,3,4,4,2,5
2651,73,undergraduate,5,3,4,4,2,5
2676,123,graduate,5,3,4,4,2,5
2693,125,graduate,5,4,4,4,3,5
2719,127,graduate,5,3,4,4,2,5
2736,129,undergraduate,5,3,4,4,2,5
2757,131,undergraduate,5,3,4,4,2,5
2783,137,undergraduate,5,3,4,4,2,5
2804,143,graduate,4,3,4,3,2,4
2826,153,graduate,5,3,4,4,2,5
2847,154,graduate,5,3,4,4,2,5
2864,156,graduate,5,3,4,4,2,5
2885,166,graduate,5,4,4,4,3,5
2907,170,graduate,5,4,4,3,2,5
2920,172,high_school,5,4,4,3,2,4
2933,180,graduate,5,4,4,4,2,5
2950,188,high_school,4,3,4,3,2,4
2963,198,high_school,4,3,4,3,2,4
2980,214,high_school,4,3,4,3,2,4
2999,215,high_school,4,3,4,3,2,4
3016,219,high_school,4,3,4,3,2,4
3029,221,high_school,5,3,4,4,2,5
3038,228,undergraduate,5,3,4,4,2,5
3052,229,undergraduate,5,3,4,4,2,4
3061,237,undergraduate,4,3,4,3,2,4
3070,239,graduate,5,3,4,4,2,5
3079,241,graduate,5,4,4,4,3,5
3093,242,graduate,5,3,4,4,2,5
3102,244,graduate,5,3,4,4,2,5
3111,246,graduate,5,4,4,4,3,5
3119,250,graduate,5,3,4,4,2,5
3131,251,graduate,5,4,4,4,3,5
3139,254,graduate,5,4,4,4,3,5
3147,265,undergraduate,4,3,4,3,2,4
3155,268,undergraduate,4,3,4,4,2,4
3115,269,undergraduate,5,3,4,4,2,5
3123,278,undergraduate,4,3,4,3,2,4
3127,285,undergraduate,5,3,4,4,2,5
3135,288,high_school,5,4,4,3,2,4
3143,289,high_school,4,3,4,3,2,4
3151,293,undergraduate,5,3,4,4,2,4
2336,849,graduate,5,3,4,4,2,5
2363,855,undergraduate,5,4,4,4,3,5
2396,861,undergraduate,5,3,4,4,2,5
2432,863,graduate,5,3,4,4,2,5
2458,877,undergraduate,5,3,4,4,2,5
