session_id,education_level,accomplishment,effort_required,mental_demand,perceived_controllability,temporal_demand,trust
37,undergraduate,5,4,4,4,2,5
38,graduate,4,3,4,3,2,4
40,graduate,4,3,5,4,4,5
41,graduate,5,3,4,2,1,3
45,undergraduate,4,4,4,4,3,5
47,undergraduate,4,3,4,4,3,5
50,undergraduate,3,4,4,2,4,3
55,undergraduate,4,4,4,5,2,5
59,undergraduate,2,3,2,4,2,4
67,undergraduate,2,3,4,2,4,2
73,undergraduate,2,3,4,2,3,3
123,graduate,5,4,4,4,3,4
125,graduate,3,4,4,3,2,4
127,graduate,4,3,4,4,3,4
129,undergraduate,2,3,4,2,3,3
131,undergraduate,4,3,3,4,2,4
137,undergraduate,5,3,3,4,2,5
143,graduate,4,3,4,3,2,4
153,graduate,3,4,4,4,2,5
154,graduate,4,3,4,2,2,4
156,graduate,4,3,4,4,2,4
166,graduate,5,4,5,4,3,5
170,graduate,4,3,4,4,3,4
172,high_school,2,3,4,1,2,2
180,graduate,2,4,4,3,5,2
188,high_school,2,4,4,1,3,2
198,high_school,2,3,4,1,2,2
214,high_school,3,4,4,2,1,3
215,high_school,2,4,4,1,5,1
219,high_school,5,3,4,5,1,5
221,high_school,4,4,3,4,2,4
228,undergraduate,4,3,4,2,2,4
229,undergraduate,3,4,4,2,2,3
237,undergraduate,2,3,3,2,2,1
239,graduate,4,3,4,4,2,5
241,graduate,4,3,4,4,2,4
242,graduate,4,3,4,4,3,5
244,graduate,4,3,4,4,2,4
246,graduate,3,4,4,2,3,3
250,graduate,5,3,4,4,2,5
251,graduate,3,3,4,2,2,4
254,graduate,3,4,4,2,3,4
265,undergraduate,2,4,4,3,2,3
268,undergraduate,4,3,4,4,2,4
269,undergraduate,4,3,4,5,2,4
278,undergraduate,3,4,4,2,1,3
285,undergraduate,3,4,3,2,4,4
288,high_school,4,3,4,4,2,5
289,high_school,4,3,4,2,3,2
293,undergraduate,2,3,4,2,4,2
849,graduate,4,3,5,2,3,4
855,undergraduate,4,3,4,4,2,5
861,undergraduate,2,3,3,2,2,2
863,graduate,4,3,4,3,2,4
877,undergraduate,4,5,3,4,2,4
