session_id,education_level,accomplishment,effort_required,mental_demand,perceived_controllability,temporal_demand,trust
37,undergraduate,4,3,4,4,2,5
38,graduate,4,3,4,3,2,4
40,graduate,4,3,4,4,2,5
41,graduate,5,3,4,5,2,5
45,undergraduate,4,3,4,4,2,5
47,undergraduate,4,3,4,3,2,4
55,undergraduate,4,3,4,4,2,4
59,undergraduate,5,3,4,5,2,5
67,undergraduate,2,3,4,1,2,2
73,undergraduate,3,4,4,2,3,3
123,graduate,4,3,5,4,2,5
125,graduate,4,4,4,3,2,4
129,undergraduate,3,4,4,2,1,4
131,undergraduate,4,3,4,4,2,4
137,undergraduate,4,4,4,3,2,5
143,graduate,4,4,4,3,2,5
154,graduate,2,3,4,2,1,3
156,graduate,4,3,4,3,2,4
166,graduate,5,3,4,2,4,4
170,graduate,4,3,4,4,2,4
172,high_school,2,3,3,2,2,2
180,graduate,3,4,4,2,3,3
188,high_school,1,3,2,1,1,2
215,high_school,1,4,4,2,5,2
219,high_school,4,4,4,5,2,4
221,high_school,4,3,4,3,3,4
228,undergraduate,4,3,4,4,2,4
229,undergraduate,3,4,4,2,4,3
237,undergraduate,2,4,3,1,3,2
239,graduate,5,4,5,4,3,5
241,graduate,3,2,4,4,3,3
242,graduate,4,3,4,5,2,4
244,graduate,4,3,4,4,2,4
246,graduate,3,4,4,2,3,4
250,graduate,4,3,5,4,2,4
251,graduate,4,4,4,3,2,4
254,graduate,2,3,4,2,2,3
254,graduate,3,4,4,2,3,4
265,undergraduate,3,4,4,2,3,3
268,undergraduate,4,3,4,4,2,4
269,undergraduate,4,3,3,4,2,5
278,undergraduate,3,4,4,2,2,2
285,undergraduate,4,3,4,2,2,3
288,high_school,5,2,4,4,1,4
289,high_school,2,4,4,2,1,3
293,undergraduate,2,3,3,1,4,2
849,graduate,3,4,4,2,2,4
855,undergraduate,4,3,4,4,2,5
855,undergraduate,5,3,4,4,2,5
861,undergraduate,3,3,4,2,2,3
861,undergraduate,3,4,4,3,2,3
863,graduate,4,3,4,4,2,4
863,graduate,3,4,3,4,2,4
877,undergraduate,4,3,4,4,2,3
877,undergraduate,4,3,4,4,2,4
