session_id,education_level,accomplishment,effort_required,mental_demand,perceived_controllability,temporal_demand,trust
37,undergraduate,4,3,3,4,2,4
38,graduate,4,3,4,4,3,4
40,graduate,4,4,4,2,3,3
41,graduate,4,3,4,4,2,5
41,graduate,4,3,4,4,2,5
45,undergraduate,4,3,4,4,3,4
47,undergraduate,4,3,4,3,2,4
55,undergraduate,5,4,4,4,2,5
59,undergraduate,4,3,3,5,2,4
67,undergraduate,2,3,4,2,1,3
73,undergraduate,2,2,3,2,2,4
123,graduate,4,3,4,4,2,5
125,graduate,4,4,4,3,2,5
129,undergraduate,3,4,4,2,2,3
131,undergraduate,4,3,4,4,2,5
137,undergraduate,4,3,4,4,2,4
143,graduate,4,4,4,3,2,4
153,graduate,3,4,4,3,2,4
156,graduate,4,3,4,4,2,4
166,graduate,4,3,4,3,2,4
170,graduate,4,3,4,4,2,5
172,high_school,2,3,3,2,3,2
180,graduate,2,4,4,3,2,3
198,high_school,2,4,3,2,1,1
214,high_school,2,3,4,2,3,4
215,high_school,1,2,2,2,3,2
219,high_school,5,3,4,5,2,5
221,high_school,4,3,3,4,2,5
228,undergraduate,4,3,4,3,2,4
237,undergraduate,2,3,4,2,1,2
239,graduate,5,3,4,4,2,5
241,graduate,2,2,3,3,2,2
242,graduate,4,3,4,4,2,4
244,graduate,4,4,5,4,2,5
246,graduate,3,4,4,3,2,4
250,graduate,5,4,5,5,3,5
251,graduate,3,4,4,3,2,4
254,graduate,3,4,4,3,3,4
265,undergraduate,2,3,4,2,2,2
268,undergraduate,4,3,4,4,2,5
269,undergraduate,4,4,3,5,3,4
278,undergraduate,3,3,4,2,3,4
285,undergraduate,3,4,4,2,3,3
288,high_school,4,3,4,3,2,4
289,high_school,2,4,4,3,2,2
293,undergraduate,2,3,4,2,2,1
849,graduate,3,4,4,2,2,4
855,undergraduate,5,4,4,5,3,5
855,undergraduate,4,3,4,5,2,5
861,undergraduate,3,2,3,2,2,3
861,undergraduate,3,4,4,2,3,3
863,graduate,4,3,4,4,2,4
863,graduate,3,4,4,3,2,4
877,undergraduate,3,3,3,2,2,4
877,undergraduate,3,2,3,4,1,4
